O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,3,32768,3,6.09856,40.8894,0.438144,0.0196109,0.211998,0.000358909
true,3,32768,4,8.47539,40.9061,0.681203,0.0232202,0.215096,0.000351829
true,3,32768,5,4.12497,40.8994,0.609886,0.0192938,0.210249,0.00034581
true,3,36864,1,5.18732,51.719,0.788794,0.0199487,0.217978,0.000350005
true,3,36864,2,5.49275,51.7726,0.782684,0.0194875,0.216322,0.000345911
true,3,36864,3,4.95732,51.7284,0.758997,0.0197413,0.224127,0.000359878
true,3,36864,4,5.20417,51.7183,0.755779,0.0197006,0.217075,0.00034764
true,3,36864,5,4.955,51.7089,0.740664,0.0205037,0.222612,0.000342529
true,4,1024,1,0.00553109,0.278312,0.00188347,0.0200799,0.178811,0.000434813
true,4,1024,2,0.00702397,0.292115,0.00256697,0.0201628,0.192041,0.000425048
true,4,1024,3,0.00513511,0.29992,0.00234513,0.0202127,0.200657,0.000433224
true,4,1024,4,0.00600228,0.291105,0.00241813,0.0208224,0.191234,0.000454085
true,4,1024,5,0.00548365,0.292627,0.0020743,0.0202163,0.194213,0.000445451
true,4,2048,1,0.0251946,0.437968,0.00440081,0.020426,0.200451,0.000437275
true,4,2048,2,0.0208724,0.428316,0.00386499,0.0202894,0.193837,0.000464909
true,4,2048,3,0.0216591,0.434938,0.00394289,0.0201445,0.196802,0.000430662
true,4,2048,4,0.0267497,0.440319,0.00428661,0.0206172,0.200654,0.000457238
true,4,2048,5,0.0208294,0.439689,0.0037526,0.0201456,0.203011,0.000425778
true,4,4096,1,0.0837035,0.865112,0.0105853,0.0203795,0.206674,0.000445921
true,4,4096,2,0.0774278,0.719781,0.0109095,0.0202351,0.194273,0.000433836
true,4,4096,3,0.089016,0.716467,0.0111979,0.0212945,0.190062,0.000446412
true,4,4096,4,0.0869471,0.713596,0.0109488,0.0201984,0.189468,0.000430435
true,4,4096,5,0.0891981,0.718638,0.0111927,0.0202092,0.192343,0.000440158
true,4,8192,1,0.320646,2.13807,0.0395021,0.0207366,0.199651,0.00044208
true,4,8192,2,0.353186,2.14697,0.0401842,0.020962,0.205507,0.000457786
true,4,8192,3,0.354436,2.14011,0.0407214,0.0205374,0.20118,0.00043342
true,4,8192,4,0.390913,2.31084,0.0398393,0.0205937,0.20314,0.000443589
true,4,8192,5,0.314278,2.14258,0.0412426,0.0207097,0.204124,0.000432895
true,4,12288,1,0.808016,4.68196,0.0880895,0.0210956,0.21831,0.000433964
true,4,12288,2,0.750449,4.66322,0.0976444,0.021158,0.221882,0.000447266
true,4,12288,3,0.898745,4.5351,0.165833,0.0213746,0.225647,0.000443606
true,4,12288,4,0.797527,4.52639,0.0873204,0.0209267,0.216821,0.000441529
true,4,12288,5,0.786074,4.7141,0.0874029,0.02117,0.220134,0.000427533
true,4,16384,1,1.41478,7.87881,0.161363,0.0214248,0.239465,0.000469247
true,4,16384,2,1.43792,7.9626,0.155278,0.0210005,0.243096,0.000428101
true,4,16384,3,1.31265,7.87226,0.153748,0.0208431,0.240939,0.000424114
true,4,16384,4,1.43576,7.9797,0.153995,0.0210158,0.242671,0.000428883
true,4,16384,5,1.3157,7.8856,0.14571,0.0209905,0.240916,0.000429438
true,4,20480,1,2.23021,12.2343,0.226721,0.0209597,0.260508,0.000432217
true,4,20480,2,2.28154,12.261,0.24015,0.0212194,0.26124,0.000441659
