N,gpus,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
1024,7,0.000293225,0.00349792,5.55118,0.0364433,3.43366,0.0225615,0.019666
1024,7,0.000308476,0.00305098,5.52786,0.0364418,3.41061,0.0224944,0.0200563
1024,8,0.000359098,0.00333755,6.68071,0.0389487,4.55172,0.0249063,0.022284
1024,8,0.000354425,0.00401531,6.3168,0.0411057,4.18368,0.0273691,0.0240893
1024,8,0.000345121,0.00304829,6.31587,0.038494,4.18571,0.024038,0.0217119
1024,8,0.000340668,0.00311113,6.66547,0.0440986,4.52883,0.0298935,0.0274525
1024,8,0.000359201,0.00326044,6.66761,0.0323234,4.54288,0.0183483,0.0158373
1024,9,0.000408598,0.00364966,7.84274,0.035579,5.7052,0.0207426,0.0178896
1024,9,0.000406855,0.00344912,7.90755,0.0357849,5.7682,0.020754,0.0180911
1024,9,0.000403313,0.00435938,7.77689,0.0405502,5.63336,0.0256576,0.0220663
1024,9,0.000444726,0.0035685,7.91322,0.0333075,5.78007,0.0181148,0.0153332
1024,9,0.000417497,0.00323186,7.90556,0.0360531,5.7712,0.020331,0.0178944
20480,10,0.00147517,0.00386463,32.8125,0.047435,6.78249,0.0301596,0.0272966
20480,10,0.00138161,0.00388511,32.7912,0.0424876,6.79743,0.0261801,0.0232793
20480,10,0.0015362,0.00413466,32.7454,0.0375068,6.74763,0.0209702,0.0177798
20480,10,0.00139526,0.00387808,32.8087,0.0400053,6.80648,0.0228389,0.0198617
20480,10,0.00140072,0.00364923,32.8031,0.0445449,6.80708,0.0272341,0.0245198
20480,11,0.00157714,0.00385499,34.3187,0.0385657,8.14756,0.0210184,0.0181046
20480,11,0.00150001,0.00378654,34.4187,0.0441005,8.23122,0.0234276,0.0205702
20480,11,0.00136846,0.00384286,34.3195,0.0447722,8.1541,0.0267098,0.0238977
20480,11,0.00164215,0.00402275,34.39,0.0456981,8.17362,0.0281196,0.0251064
20480,11,0.00142951,0.00432764,34.3633,0.0514428,8.15058,0.0344158,0.0311314
20480,12,0.00167196,0.00395494,35.9857,0.0476778,9.76693,0.0304669,0.0276462
20480,12,0.00151243,0.00427435,36.0304,0.0440295,9.79205,0.0254356,0.022308
20480,12,0.00187522,0.00491423,35.5811,0.0462192,9.34715,0.0293531,0.0256286
20480,12,0.00169299,0.00397942,36.0181,0.0426938,9.78794,0.0250634,0.0222856
20480,12,0.00169594,0.00428827,36.0367,0.0428088,9.80223,0.0251124,0.0219176
20480,13,0.00168847,0.00405055,37.8356,0.0450326,11.3428,0.0278886,0.0250021
20480,13,0.00183695,0.00393065,37.98,0.0432137,11.4637,0.0256305,0.0229161
20480,13,0.00180747,0.00398411,37.8672,0.0507477,11.3548,0.0314717,0.0287106
20480,13,0.001686,0.00404056,38.0033,0.0533842,11.4193,0.0350299,0.032193
20480,13,0.00171106,0.0041526,37.9817,0.0425214,11.4427,0.0249041,0.0219636
20480,14,0.00214118,0.00578637,39.6561,0.0450458,13.1402,0.0290404,0.0246307
20480,14,0.00164212,0.00439325,39.8613,0.0555529,13.3278,0.0353761,0.0321775
20480,14,0.0019018,0.00468929,39.5799,0.045522,13.0718,0.0285318,0.0251651
20480,14,0.00180792,0.00487735,39.8495,0.058791,13.3408,0.0417255,0.0380974
20480,14,0.00198267,0.00411438,39.8523,0.0433514,13.3532,0.0251007,0.0222656
20480,15,0.00197493,0.00685693,41.7003,0.0549442,15.1406,0.038374,0.0328476
20480,15,0.00220969,0.00535553,41.9669,0.0582366,15.3441,0.0409394,0.0370657
20480,15,0.0022599,0.00431487,41.6121,0.0498208,15.0728,0.0316073,0.0286492
