O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,6,4096,3,0.135162,0.81873,0.0817892,0.0488363,0.312832,0.043625
true,6,8192,1,0.529769,1.69977,0.150308,0.079531,0.331661,0.0736272
true,6,8192,2,0.518316,1.47729,0.12024,0.0818433,0.252377,0.0752806
true,6,8192,3,0.530355,1.55452,0.147783,0.0793448,0.327477,0.0731294
true,6,12288,1,1.18708,3.04031,0.266244,0.119308,0.35345,0.112472
true,6,12288,2,1.13848,3.18554,0.266473,0.113236,0.350314,0.10575
true,6,12288,3,1.09998,3.17028,0.259103,0.113679,0.352152,0.106886
true,6,16384,1,2.77815,5.21159,0.417524,0.153789,0.389136,0.146435
true,6,16384,2,2.06592,5.03379,0.409499,0.147165,0.384374,0.140199
true,6,16384,3,2.06647,5.02523,0.408491,0.146502,0.376398,0.139573
true,6,20480,1,3.20098,7.85913,0.598132,0.176404,0.417445,0.169587
true,6,20480,2,3.36897,7.90735,0.601686,0.175947,0.41645,0.167985
true,6,20480,3,3.07226,7.82718,0.605364,0.18343,0.419246,0.175991
true,6,24576,1,4.61356,10.8626,0.806636,0.209941,0.461834,0.201767
true,6,24576,2,4.4904,10.912,0.80676,0.209472,0.460749,0.201805
true,6,24576,3,4.73999,10.8759,0.79802,0.208538,0.458897,0.201336
true,6,28672,1,7.77408,14.5812,1.45621,0.248786,0.488924,0.239832
true,6,28672,2,6.49088,14.5095,1.03985,0.251247,0.478123,0.244218
true,6,28672,3,7.43451,14.5123,1.2202,0.250414,0.476518,0.243134
true,6,32768,1,8.27245,18.758,1.29974,0.277454,0.512407,0.269601
true,6,32768,2,8.02531,18.7587,1.30745,0.28021,0.503605,0.272711
true,6,32768,3,8.59437,18.7627,1.30466,0.289056,0.502995,0.281497
true,6,36864,1,10.5394,23.7805,1.6271,0.316976,0.526832,0.30879
true,6,36864,2,10.2013,23.7978,1.59001,0.320083,0.541931,0.311847
true,6,36864,3,8.8939,23.7041,1.20958,0.317622,0.490923,0.309904
