gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
8,16384,2.9338,13.838,0.540874,0.580921,1.06476,0.266578
8,16384,3.34269,13.8116,0.530991,0.587116,1.0554,0.260947
8,16384,3.54996,13.9339,0.415461,0.575066,1.11096,0.263739
8,2048,0.0440675,1.44745,0.0302495,0.269331,0.84539,0.184171
8,2048,0.0494638,1.45992,0.0326704,0.271082,0.857065,0.189174
8,2048,0.0518787,1.48564,0.0307625,0.270546,0.880226,0.184024
8,20480,3.88585,21.4137,0.602689,0.668078,1.23206,0.292937
8,20480,4.21832,21.4,0.595736,0.666263,1.20334,0.291169
8,20480,5.6401,21.4043,0.590039,0.667217,1.21249,0.292153
8,24576,6.01093,29.3353,0.794836,0.759836,1.29059,0.316709
8,24576,6.04937,29.3747,0.793686,0.754276,1.31556,0.315249
8,24576,6.14576,29.3517,0.793156,0.751792,1.29892,0.312572
8,28672,8.02797,39.075,1.05324,0.843008,1.40465,0.338847
8,28672,8.17612,39.0563,1.03096,0.844196,1.38627,0.340521
8,28672,8.33674,39.0382,1.02959,0.830957,1.38724,0.326998
8,32768,10.2432,50.7643,1.30946,0.927864,1.49059,0.358142
8,32768,10.7958,50.3931,1.29583,0.935687,1.44948,0.362989
8,32768,10.8584,50.3804,1.30211,0.931848,1.44555,0.360311
8,36864,13.0463,63.7385,1.59038,1.01326,1.52986,0.376781
8,36864,13.4702,63.8718,1.60434,1.02494,1.53891,0.386926
8,36864,13.9446,63.847,1.59415,1.02201,1.52755,0.386264
8,4096,0.17108,2.45305,0.0816197,0.318757,0.944438,0.202254
8,4096,0.189666,2.43754,0.0771192,0.309498,0.943789,0.192528
8,4096,0.210649,2.43464,0.0780023,0.309812,0.944573,0.194635
8,8192,0.650018,4.42537,0.184287,0.391035,0.893136,0.207954
8,8192,0.74723,4.38971,0.192371,0.404432,0.870575,0.223417
8,8192,0.847191,4.38736,0.1895,0.40138,0.861974,0.219741
9,1024,0.0114339,1.32135,0.0126834,0.266015,0.934875,0.192201
9,1024,0.0124743,1.352,0.0146299,0.307986,0.926061,0.239007
9,1024,0.0171704,1.31935,0.0143226,0.264433,0.934435,0.191804
9,12288,1.56688,8.03162,0.251259,0.524906,1.19563,0.24397
9,12288,2.16435,8.01928,0.264229,0.524998,1.19201,0.245565
9,12288,2.57456,8.01555,0.258835,0.520138,1.18957,0.243507
9,16384,3.58192,12.7393,0.405597,0.612882,1.26015,0.263769
9,16384,4.24175,12.8007,0.407591,0.657164,1.26078,0.306333
9,16384,4.28842,12.8027,0.406987,0.612299,1.2648,0.261984
9,2048,0.048142,1.5988,0.0320783,0.28613,0.977166,0.194294
9,2048,0.064019,1.61662,0.0325938,0.286227,0.999691,0.194618
9,2048,0.0673604,1.60234,0.0322571,0.28582,0.989416,0.195476
9,20480,4.67244,19.4574,0.578064,0.703483,1.38216,0.280665
9,20480,5.05274,19.5327,0.573986,0.766689,1.39063,0.342461
9,20480,5.12947,19.4809,0.570019,0.7106,1.36257,0.287668
9,24576,6.39564,26.7054,0.782197,0.841991,1.51542,0.344669
9,24576,6.58499,26.6734,0.77321,0.799886,1.50514,0.297921
9,24576,7.59488,26.6626,0.772028,0.804321,1.50599,0.306774
9,28672,8.85079,35.2705,1.02677,0.896423,1.62165,0.325962
9,28672,8.99613,35.2766,1.01968,0.92549,1.60508,0.353814
9,28672,9.71818,35.2558,1.04591,0.89968,1.6179,0.328415
9,32768,11.5798,45.3998,1.27065,1.02913,1.67586,0.383314
9,32768,11.8253,45.3578,1.27402,0.994656,1.66784,0.348948
9,32768,11.8283,45.3293,1.26608,0.995047,1.65639,0.350625
9,36864,14.3599,57.4114,1.54663,1.0948,1.79287,0.371926
9,36864,14.7695,57.4266,1.55054,1.09522,1.80181,0.373655
